vendor_id,vendor_name,registration_date,address,bank_account_number,director_name,employee_count,is_shell_gt,cartel_group,shared_address_count,shared_bank_account_count
V-0000,Delta Traders LLP,2019-05-06,"378 Park Street, City-35",AC9963334018,Anita Sharma,7,False,,0,0
V-0001,Vista Infra LLP,2005-09-02,"367 Old Market, City-27",AC6241752544,Kavita Patel,45,False,,0,0
V-0002,Metro Industries Co,2023-02-26,"175 Ring Road, City-10",AC8574149614,Amit Verma,19,False,,0,0
V-0003,Vista Supplies Pvt Ltd,2013-07-10,"374 New Town, City-35",AC9256195745,Amit Patel,13,False,,0,0
V-0004,Vertex Enterprises LLP,2023-08-09,"361 Park Street, City-3",AC3840104345,Neha Verma,2,False,,0,0
V-0005,Summit Logistics Ltd,2024-03-08,"84 Station Road, City-23",AC3783290795,Kavita Gupta,2,False,,0,0
V-0006,Crown Supplies LLP,2016-12-24,"351 Station Road, City-4",AC6649827836,Neha Verma,1,False,,0,0
V-0007,Nova Traders Co,2009-09-25,"203 New Town, City-10",AC2137651678,Priya Patel,30,False,,0,0
V-0008,Crown Systems LLP,2021-10-03,"71 Old Market, City-32",AC1470939445,Sanjay Rao,13,False,,0,0
V-0009,Pioneer Solutions Ltd,2018-05-18,"284 MG Road, City-8",AC8047877267,Amit Patel,18,False,,0,0
V-0010,Summit Solutions LLP,2014-10-02,"348 Old Market, City-8",AC1854316681,Vikram Gupta,1,False,CARTEL-23,1,0
V-0011,Bright Enterprises Ltd,2017-02-05,"251 MG Road, City-8",AC9285415473,Neha Mehta,52,False,,0,0
V-0012,Prime Tech Co,2006-04-20,"36 Old Market, City-9",AC3361388464,Neha Rao,26,False,,0,0
V-0013,Alpha Industries Ltd,2009-10-02,"205 Station Road, City-29",AC2939118223,Priya Mehta,3,False,,0,0
V-0014,Delta Enterprises LLP,2006-06-09,"4 Park Street, City-4",AC1983297492,Rahul Singh,3,False,,0,0
V-0015,Elite Traders LLP,2006-08-04,"371 Harbour Rd, City-37",AC3030106617,Rohit Rao,3,False,,0,0
V-0016,Vertex Works Co,2009-04-09,"240 MG Road, City-7",AC5555296751,Vikram Verma,5,False,,0,0
V-0017,Union Works LLP,2010-07-30,"143 New Town, City-16",AC5618742930,Suresh Verma,11,False,,0,0
V-0018,Bright Tech LLP,2006-02-19,"86 Civil Lines, City-32",AC3067418686,Anita Sharma,8,False,,0,0
V-0019,Summit Contractors Co,2008-09-10,"147 Civil Lines, City-36",AC3090237817,Priya Patel,5,False,,0,0
V-0020,National Infra Ltd,2009-11-19,"30 MG Road, City-38",AC3281169403,Rahul Verma,14,False,,0,0
V-0021,Delta Works Pvt Ltd,2024-02-05,"292 Sector 12, City-38",AC3553440342,Kavita Verma,2,False,,0,0
V-0022,Nova Contractors Ltd,2014-05-28,"105 Station Road, City-16",AC6435772945,Sanjay Patel,5,False,,0,0
V-0023,Prime Infra Co,2015-04-04,"319 Harbour Rd, City-7",AC9904586976,Priya Patel,6,False,,0,0
V-0024,Delta Systems Ltd,2007-12-22,"81 New Town, City-35",AC8316648259,Kavita Sharma,9,False,,0,0
V-0025,Silver Contractors LLP,2019-12-25,"136 Park Street, City-7",AC5962610986,Neha Mehta,23,False,,0,0
V-0026,Summit Solutions Co,2021-02-04,"129 MG Road, City-6",AC8019198243,Neha Sharma,3,False,,0,0
V-0027,Summit Builders Co,2005-01-30,"283 Civil Lines, City-36",AC1041531046,Amit Gupta,10,False,,0,0
V-0028,National Builders Co,2017-03-28,"66 MG Road, City-20",AC2536778950,Priya Verma,1,True,,0,0
V-0029,Vista Industries LLP,2022-07-01,"122 Industrial Ave, City-12",AC9080621072,Rahul Gupta,13,False,,0,0
V-0030,Horizon Services LLP,2021-07-09,"137 Industrial Ave, City-7",AC3021598245,Priya Iyer,1,False,,0,0
V-0031,Delta Traders Pvt Ltd,2012-11-04,"338 Sector 12, City-26",AC6704841644,Amit Patel,14,False,,0,0
V-0032,National Systems Pvt Ltd,2012-11-16,"60 Ring Road, City-12",AC9519284858,Rahul Verma,2,False,,0,0
V-0033,Nova Works Pvt Ltd,2018-05-20,"198 Harbour Rd, City-13",AC2094024844,Anita Sharma,1,False,,0,0
V-0034,Alpha Systems Co,2016-08-30,"36 Station Road, City-40",AC4642197907,Neha Patel,44,False,,0,0
V-0035,Global Solutions LLP,2019-12-17,"99 Civil Lines, City-25",AC4877520294,Kavita Patel,50,False,,0,0
V-0036,Alpha Works Ltd,2014-02-09,"151 Civil Lines, City-35",AC5001713266,Suresh Iyer,24,False,CARTEL-09,2,3
V-0037,Metro Group Pvt Ltd,2022-10-21,"146 Old Market, City-40",AC2439622619,Priya Patel,5,False,,0,0
V-0038,Apex Traders Co,2010-01-15,"313 Park Street, City-30",AC8285786023,Rohit Rao,1,False,,0,0
V-0039,Silver Services Co,2010-06-22,"113 Industrial Ave, City-34",AC2995226582,Suresh Mehta,17,False,,0,0
V-0040,Pioneer Group Ltd,2024-01-11,"387 New Town, City-40",AC8995059760,Rohit Patel,8,False,,0,0
V-0041,Coastal Logistics LLP,2021-11-11,"141 New Town, City-5",AC8359619163,Priya Patel,1,False,,0,0
